# tag=4.1.0
# license_sha=a6cba85bc92e0cff7a450b1d873c0eaa2e9fc96bf472df0247a26bec77bf3ff9
hun.traineddata	12350405	08786ad5fe25d502d1cfcdf606ba215f320409a1630109582fa1a38d93b3e32d
hye.traineddata	6372242	ca46afdca95b5436e9510fd2fc59aff45c306132433a4267eed2bd422cdd29f4
iku.traineddata	6139484	6b65466ef44f8d38e593ecfedaf0434cc24163c108db1a019c68ac174e035905
ind.traineddata	8253606	1f6596041ffb4cd5094e5f98764db43cfde04edb8f02b988f90ebc1353ac73b8
isl.traineddata	9486436	b4bf195ce73fa9098ccdf7b8b25ffb7cfb1395346bb3fa1355c40d4bc9e6792a
ita.traineddata	8863635	8df9c89176fb93f56bf4b2d4ede04c01c1f31d4b7697fbd76cc336df700f3f38
ita_old.traineddata	9852171	6bba512704bc5417462435f7c98f6b2be86457d544bbb09c7f9ab5caef955b5d
jav.traineddata	8650382	914fe51f967efa4f05b72a852b2c234af3cdd4aefc0f64d43e39903d2108017a
jpn.traineddata	14330109	36bdf9ac823f5911e624c30d0553e890b8abc7c31a65b3ef14da943658c40b79
jpn_vert.traineddata	14330809	1258be6eb2a9851f18043234ad18cca13ed32690bfff62b335c898bbea371548
kan.traineddata	10233763	6f195e0f33f0ec5118c97eff777ed70ac453d67c32bf06a43f79dab875f8ebfe
kat.traineddata	4487336	557f48b753fdbbee2c77d83bae2542af249f915be6cf80883892a579ea2a81db
kat_old.traineddata	3174400	ada8c6b31828d2e208312e6d28b92fd94cb924f48f676506d3592cf023bb487d
kaz.traineddata	7528853	34cbd9204b1ff3cc813d50b29e3c0ae3752bcc201f261a4a393ceca3895aea9d
khm.traineddata	8104332	3d2d975e67a319bf1cd67626b12fdebc1e417a4ebef9c9afee01d9927b512815
kir.traineddata	11948344	607cbaa07305217518df0e9c7334239000a8542689baefb3754e0aee15ae6a5c
kmr.traineddata	10196464	6017f6284e6771419f85a72218a2e84c5c6c19a4ed0ef27286cd637981293b76
kor.traineddata	12528128	f888d4038348a0c3d25151e7f452bda0d74ca275b18cab146798bcbb94084fff
kor_vert.traineddata	3964469	e6c72327617c0bf195a9a8b631827bf102c75735bbb932126e6fa1c4656c7568
lao.traineddata	13532551	12680f24af571909d69f0dd0151ecdf657a98f000c0ca011c11f8f9dc2bf69b7
lat.traineddata	9705145	60054dd32ac03ebd9b4f87d0665bd491a7ffe0d3ee99ceb91aefaf348b65e94f
lav.traineddata	5623473	fc5b602bc21987e09468f9ec5baaef1d1a29e26eb334545531294a0af9407c69
lit.traineddata	10252680	7d47a118f60509408e1dae2dd967d7c553a770e57390fedf8e7af07a192fefe3
